,t_givens,t_newton,s_givens,unitDist_givens,unitDist_newton,hermDist_givens,hermDist_newton,accuracy_givens,accuracy_newton,unitFactDiff,hermFactDiff,,,,,,,,
10,0.27418,0.021342,163,1.50E-14,8.06E-16,4.30E-15,1.38E-15,3.82E-14,1.95E-15,2.94E-14,1.90E-14,,,,,,,,
15,0.10597,0.0042227,297,3.51E-14,1.22E-15,6.82E-15,2.59E-15,1.07E-13,4.38E-15,6.50E-14,4.22E-14,,,,,,,,
20,0.16139,0.0020216,234.5,4.93E-14,2.07E-15,1.18E-14,5.94E-15,1.65E-13,9.42E-15,1.48E-13,5.71E-14,,,,,,,,
25,0.27438,0.0016707,245.25,5.54E-14,2.38E-15,1.91E-14,8.12E-15,2.34E-13,1.27E-14,1.41E-13,9.17E-14,,,,,,,,
30,0.74234,0.0043251,476.75,1.41E-13,3.11E-15,2.81E-14,1.43E-14,5.22E-13,1.85E-14,6.88E-13,2.16E-13,,,,,,,,
35,2.281,0.0013202,1042.8,3.06E-13,3.97E-15,3.99E-14,1.76E-14,1.93E-12,2.29E-14,7.70E-13,6.10E-13,,,,,,,,
40,2.7415,0.0013251,873.25,3.13E-13,4.74E-15,5.15E-14,2.19E-14,2.38E-12,3.00E-14,9.00E-13,7.54E-13,,,,,,,,
45,3.888,0.0017557,976.5,4.61E-13,5.49E-15,6.93E-14,3.41E-14,3.63E-12,3.91E-14,2.43E-12,1.27E-12,,,,,,,,
50,4.8809,0.001836,712.75,3.95E-13,7.32E-15,7.88E-14,3.90E-14,3.38E-12,5.70E-14,1.28E-12,1.27E-12,,,,,,,,
55,9.869,0.0021249,992,6.22E-13,7.98E-15,9.61E-14,4.88E-14,5.65E-12,6.01E-14,2.14E-12,2.02E-12,,,,,,,,
60,25.911,0.002215,2275.8,1.76E-12,9.41E-15,1.15E-13,5.29E-14,1.95E-11,7.21E-14,8.13E-12,5.46E-12,,,,,,,,
65,35.8,0.0025624,2512.3,2.26E-12,1.05E-14,1.34E-13,6.37E-14,1.81E-11,8.40E-14,5.04E-12,6.56E-12,,,,,,,,
70,24.201,0.0027991,1214,1.23E-12,1.18E-14,1.34E-13,7.51E-14,9.92E-12,9.63E-14,6.13E-12,3.45E-12,,,,,,,,
75,35.961,0.0031133,1364.3,1.23E-12,1.23E-14,1.64E-13,9.17E-14,1.03E-11,1.18E-13,4.14E-12,3.53E-12,,,,,,,,
80,27.41,0.0029936,844,9.70E-13,1.34E-14,1.87E-13,8.72E-14,1.01E-11,1.21E-13,3.64E-12,2.84E-12,,,,,,,,
85,61.597,0.0057973,1531.3,2.02E-12,1.49E-14,2.28E-13,1.06E-13,2.16E-11,1.34E-13,6.23E-12,6.33E-12,,,,,,,,
90,80.948,0.0042033,1610.3,2.12E-12,1.68E-14,2.70E-13,1.16E-13,2.47E-11,1.44E-13,6.32E-12,7.40E-12,,,,,,,,
95,287.03,0.0055118,5417.8,8.79E-12,1.59E-14,2.84E-13,1.18E-13,1.14E-10,1.83E-13,2.42E-11,2.88E-11,,,,,,,,
100,140.53,0.0044856,2110,3.76E-12,1.97E-14,3.14E-13,1.46E-13,3.97E-11,2.28E-13,1.25E-11,1.24E-11,,,,,,,,
